SrcAddr,Sport,DstAddr,Dport,DstLoad,SrcPkts,SrcBytes,DstLoss,DstBytes,sMeanPktSz,SrcLoad,dMeanPktSz,Rate
192.168.1.96,45833,192.168.1.1,domain,0.000000,1,82,0,147,82.000000,0.000000,147.000000,14.772140
192.168.1.96,41824,157.240.195.15,https,123366.484375,9,4023,0,6312,447.000000,75709.375000,485.538452,55.575256
192.168.1.96,54083,157.240.195.15,https,239081.328125,5,2924,0,4460,584.799988,146338.031250,637.142883,85.989227
192.168.1.96,60000,157.240.195.15,https,3911228.000000,66,4708,1,143491,71.333336,127797.375000,1576.824219,537.426941
192.168.1.96,42810,104.16.227.10,https,13183.066406,2,174,0,170,87.000000,12880.007812,85.000000,56.823563
192.168.1.96,59828,41.231.48.63,http,0.000000,1,66,0,66,66.000000,0.000000,66.000000,47.241119
192.168.1.96,59832,41.231.48.63,http,0.000000,1,66,0,66,66.000000,0.000000,66.000000,47.499168
192.168.1.96,59820,41.231.48.63,http,0.000000,1,66,0,66,66.000000,0.000000,66.000000,40.285217
192.168.1.96,39204,142.250.200.234,https,28474.058594,3,686,0,596,228.666672,29174.761719,149.000000,47.775265
192.168.1.96,40548,216.58.212.110,https,30644.443359,5,2325,0,960,465.000000,71248.328125,160.000000,47.881943
0,0,124,1,0.000000,4540,3805290,0,0,0.000000,0.000000,0.000000,0.000000
192.168.1.96,39089,104.16.226.10,https,21739.130859,4,3558,0,697,889.500000,110940.234375,174.250000,36.370438
192.168.1.96,43418,216.58.205.196,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,26.446632
192.168.1.96,44505,192.168.1.1,domain,0.000000,1,85,0,101,85.000000,0.000000,101.000000,25.603603
192.168.1.96,49047,142.251.37.196,https,115327.953125,7,3039,0,2568,434.142853,146194.312500,513.599976,77.165901
192.168.1.96,38210,13.226.244.23,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,20.455753
192.168.1.96,53484,66.102.1.188,5228,0.000000,1,66,0,66,66.000000,0.000000,66.000000,20.054146
192.168.1.96,55110,142.250.201.10,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,27.959513
192.168.1.96,55094,142.250.201.10,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,29.139227
192.168.1.96,60016,157.240.195.15,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,28.020622
192.168.1.96,58474,31.13.69.35,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,35.033634
192.168.1.96,52532,142.250.200.234,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,26.081060
192.168.1.96,58468,31.13.69.35,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,33.816914
192.168.1.96,39089,104.16.226.10,https,34101.601562,4,3637,0,694,909.250000,178558.875000,173.500000,57.272366
192.168.1.1,,224.0.0.1,,0.000000,1,46,0,0,46.000000,0.000000,0.000000,0.000000
192.168.1.96,43418,216.58.205.196,https,23136.318359,3,198,0,205,66.000000,29650.427734,102.500000,112.312225
192.168.1.96,42810,104.16.227.10,https,0.000000,1,108,0,170,108.000000,14110.226562,85.000000,41.500664
192.168.1.96,60202,142.250.203.234,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,26.941832
192.168.1.96,58504,172.217.19.131,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,27.145884
192.168.1.96,36280,41.231.48.63,http,0.000000,1,66,0,66,66.000000,0.000000,66.000000,41.366760
192.168.1.96,,224.0.0.251,,0.000000,1,46,0,0,46.000000,0.000000,0.000000,0.000000
192.168.1.96,48136,192.168.1.1,domain,0.000000,1,85,0,133,85.000000,0.000000,133.000000,18.473362
192.168.1.96,34845,192.168.1.1,domain,0.000000,1,85,0,169,85.000000,0.000000,169.000000,8.284936
192.168.1.96,36700,34.241.202.139,https,62496.910156,11,2562,0,7901,232.909088,20477.824219,790.099976,21.971914
192.168.1.96,34522,192.168.1.1,domain,0.000000,1,106,0,362,106.000000,0.000000,362.000000,21.682096
192.168.1.96,40643,192.168.1.1,domain,0.000000,1,106,0,163,106.000000,0.000000,163.000000,14.405070
