iter	Passed	Remaining
828	57450	11850
829	57526	11782
830	57537	11701
831	57610	11632
832	57626	11552
833	57647	11474
834	57786	11418
835	57834	11345
836	57844	11264
837	57878	11188
838	57889	11108
839	57898	11028
840	57906	10947
841	57916	10867
842	57928	10788
843	57942	10709
844	57961	10631
845	58008	10559
846	58031	10482
847	58041	10403
848	58065	10327
849	58081	10249
850	58126	10177
851	58258	10119
852	58402	10064
853	58426	9988
854	58496	9920
855	58506	9842
856	58523	9765
857	58611	9700
858	58716	9638
859	58726	9560
860	58735	9482
861	58746	9404
862	58775	9330
863	58877	9267
864	59018	9210
865	59034	9134
866	59044	9057
867	59056	8980
868	59124	8912
869	59187	8844
870	59247	8774
871	59260	8698
872	59282	8624
873	59314	8551
874	59408	8486
875	59463	8417
876	59525	8348
877	59613	8283
878	59622	8207
879	59678	8137
880	59723	8067
881	59738	7992
882	59747	7916
883	59756	7841
884	59784	7768
885	59806	7695
886	59836	7622
887	59854	7549
888	59898	7478
889	59912	7404
890	59984	7338
891	60043	7269
892	60065	7197
893	60140	7130
894	60160	7057
895	60191	6986
896	60201	6912
897	60332	6852
898	60340	6779
899	60349	6705
900	60361	6632
901	60410	6563
902	60426	6490
903	60448	6419
904	60500	6350
905	60520	6279
906	60561	6209
907	60570	6137
908	60578	6064
909	60636	5997
910	60690	5929
911	60727	5859
912	60740	5787
913	60767	5717
914	60801	5648
915	60823	5577
916	60830	5505
917	60908	5440
918	60941	5371
919	60995	5303
920	61033	5235
921	61114	5170
922	61135	5100
923	61145	5029
924	61158	4958
925	61168	4888
926	61187	4818
927	61208	4748
928	61219	4678
929	61238	4609
930	61295	4542
931	61309	4473
932	61317	4403
933	61356	4335
934	61438	4271
935	61445	4201
936	61511	4135
937	61544	4067
938	61586	4000
939	61595	3931
940	61613	3863
941	61623	3794
942	61634	3725
943	61642	3656
944	61653	3588
945	61661	3519
946	61669	3451
947	61675	3383
948	61686	3315
949	61704	3247
950	61711	3179
951	61718	3111
952	61729	3044
953	61735	2976
954	61744	2909
955	61752	2842
956	61760	2775
957	61768	2707
958	61775	2641
959	61781	2574
960	61791	2507
961	61800	2441
962	61806	2374
963	61813	2308
964	61819	2242
965	61825	2176
966	61830	2110
967	61838	2044
968	61844	1978
969	61850	1912
970	61855	1847
971	61860	1781
972	61865	1716
973	61872	1651
974	61885	1586
975	61891	1521
976	61896	1457
977	61901	1392
978	61906	1327
979	61911	1263
980	61929	1199
981	61942	1135
982	61947	1071
983	61953	1007
984	61957	943
985	61962	879
986	61967	816
987	61971	752
988	61976	689
989	61980	626
990	61985	562
991	61989	499
992	61994	437
993	61998	374
994	62003	311
995	62007	249
996	62012	186
997	62016	124
998	62020	62
999	62024	0
